user,timestamp,cpu_percent,ram_percent,ram_used_gb,disk_usage_percent,bytes_sent_per_sec,bytes_recv_per_sec
gusta,2026-04-08 17:37:51.675099,8.5,70.2,11.04,71.4,2302.8,411.6
gusta,2026-04-08 17:38:02.701152,11.7,69.6,10.95,71.4,2265.2,371.0
gusta,2026-04-08 17:38:13.732899,7.2,69.6,10.95,71.4,13002.6,17034.0
gusta,2026-04-08 17:38:24.765708,2.5,69.9,11.0,71.4,196.8,260.0
gusta,2026-04-08 17:38:35.796463,3.0,69.8,10.98,71.4,168.2,266.0
gusta,2026-04-08 17:38:46.826496,15.2,70.2,11.04,71.4,1184.4,1514.0
gusta,2026-04-08 17:38:57.871396,11.3,69.4,10.92,71.4,131.2,202.0
gusta,2026-04-08 17:39:08.915177,1.6,69.4,10.92,71.4,140.0,118.8
gusta,2026-04-08 17:39:19.971906,1.8,69.5,10.93,71.4,4979.8,1921.4
gusta,2026-04-08 17:39:31.005082,2.2,69.2,10.89,71.4,60.4,80.8
gusta,2026-04-08 17:39:42.035840,3.7,69.1,10.87,71.4,53.8,45.2
gusta,2026-04-08 17:39:53.064118,10.0,69.6,10.94,71.4,1232.0,342.8
gusta,2026-04-08 17:40:04.093812,4.1,69.4,10.91,71.4,2031.2,2267.8
gusta,2026-04-08 17:40:15.124589,1.7,69.2,10.89,71.4,41.2,100.8
gusta,2026-04-08 17:40:26.148485,2.5,69.2,10.88,71.4,549.8,1687.0
gusta,2026-04-08 17:40:37.181755,6.2,67.8,10.67,71.4,2627.0,3153.0
gusta,2026-04-08 17:40:48.207601,6.3,67.9,10.68,71.4,94.0,358.0
gusta,2026-04-08 17:40:59.235545,23.3,68.1,10.72,71.4,5217.6,1148.8
gusta,2026-04-08 17:41:10.261451,12.9,68.1,10.72,71.4,2625.2,1664.4
gusta,2026-04-08 17:41:21.287257,10.9,68.1,10.72,71.4,15.0,17.2
gusta,2026-04-08 17:41:32.315686,7.2,68.1,10.71,71.4,121.0,160.8
gusta,2026-04-08 17:41:43.347455,10.0,68.1,10.71,71.4,0.0,0.0
gusta,2026-04-08 17:41:54.374500,4.7,68.0,10.7,71.4,171.4,243.4
gusta,2026-04-08 17:42:05.400778,2.8,68.1,10.71,71.4,0.0,14.8
gusta,2026-04-08 17:42:16.431073,6.8,68.1,10.71,71.4,163.8,143.4
gusta,2026-04-08 17:42:27.451660,15.8,68.3,10.74,71.4,2249.2,1156.6
gusta,2026-04-08 17:42:38.480156,3.3,68.2,10.73,71.4,1023.8,607.6
gusta,2026-04-08 17:42:49.508147,3.7,68.3,10.74,71.4,61.6,103.6
gusta,2026-04-08 17:43:00.537481,2.4,68.3,10.75,71.4,34.4,64.4
gusta,2026-04-08 17:43:11.569196,6.6,68.8,10.82,71.4,2854.4,1270.4
gusta,2026-04-08 17:43:22.607025,32.3,69.3,10.9,71.4,8536.0,2571.8
gusta,2026-04-08 17:43:33.644756,17.7,69.9,11.0,71.4,6676.8,1749.4
gusta,2026-04-08 17:43:44.666658,11.2,70.3,11.05,71.4,4722.2,2403.0
gusta,2026-04-08 17:43:55.697910,4.6,70.4,11.08,71.4,92.4,103.4
gusta,2026-04-08 17:44:06.736838,8.6,68.7,10.8,71.4,3992.6,2275.4
gusta,2026-04-08 17:44:17.773646,5.3,68.7,10.81,71.4,4173.2,403.4
gusta,2026-04-08 17:44:28.799863,12.4,68.8,10.82,71.4,178.6,221.2
gusta,2026-04-08 17:44:39.829033,5.2,68.5,10.78,71.4,1347.0,1475.2
gusta,2026-04-08 17:44:50.858332,2.2,68.4,10.77,71.4,1933.8,1847.2
gusta,2026-04-08 17:45:01.884887,2.0,68.4,10.76,71.4,42.4,0.0
gusta,2026-04-08 17:45:12.911922,2.0,68.4,10.76,71.4,3776.4,1634.6
gusta,2026-04-08 17:45:23.941493,3.3,68.4,10.77,71.4,100.8,118.4
gusta,2026-04-08 17:45:34.971808,11.3,68.5,10.77,71.4,2301.0,358.2
gusta,2026-04-08 17:45:45.997998,9.2,67.2,10.57,71.4,2081.4,514.8
gusta,2026-04-08 17:45:57.028092,6.9,67.2,10.57,71.4,4287.0,2803.2
gusta,2026-04-08 17:46:08.063132,5.8,68.1,10.71,71.4,18866.2,74986.4
gusta,2026-04-08 17:46:19.097217,2.5,68.4,10.75,71.4,85.2,98.8
gusta,2026-04-08 17:46:30.126902,8.3,68.4,10.76,71.4,26527.6,93689.8
gusta,2026-04-08 17:46:41.162111,10.1,68.9,10.84,71.4,17540.0,40394.6
gusta,2026-04-08 17:46:52.186485,5.4,68.9,10.84,71.4,1049.4,3661.0
gusta,2026-04-08 17:47:03.228757,3.1,67.8,10.67,71.4,141.0,86.4
gusta,2026-04-08 17:47:14.261910,3.5,68.1,10.71,71.4,1223.0,675.0
gusta,2026-04-08 17:47:25.294459,8.5,68.3,10.75,71.4,17966.2,67946.4
gusta,2026-04-08 17:47:36.332747,11.9,68.4,10.77,71.4,3306.6,1086.4
gusta,2026-04-08 17:47:47.364425,4.6,68.3,10.75,71.4,623.8,536.2
gusta,2026-04-08 17:47:58.405033,12.0,67.8,10.66,71.4,97.4,209.0
gusta,2026-04-08 17:48:09.428972,10.9,67.8,10.66,71.4,76.8,168.0
gusta,2026-04-08 17:48:20.453879,4.8,67.6,10.63,71.4,1228.6,1601.0
gusta,2026-04-08 17:48:31.490670,1.5,67.5,10.62,71.4,37.6,54.0
gusta,2026-04-08 17:48:42.520389,7.8,67.7,10.65,71.4,15.0,17.2
gusta,2026-04-08 17:48:53.547619,10.4,67.3,10.59,71.4,2639.0,1433.2
gusta,2026-04-08 17:49:04.579481,3.1,67.1,10.56,71.4,189.4,118.4
gusta,2026-04-08 17:49:15.604343,6.5,67.1,10.55,71.4,163.2,123.8
